id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
AmMVFDFVoNs,2025-07-07T04:54:13Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,「フェンタニル」愛知県の立ち入り検査で違法取引は確認されず　大村知事が会見（2025年7月7日）,"愛知県の大村秀章知事は7日、県庁で定例記者会見に臨んだ。世界的に乱用が問題となっている合成麻薬「フェンタニル」について、原料を取り扱う可能性のある県内26事業所に県が立ち入り検査した結果、違法な取引や海外との取引は確認されなかったと明らかにした。大村知事は「引き続き違法な麻薬などの取り扱いが疑われる取引事例の把握に努めていくとともに、そうした取引事例を探知した場合には、国と連携して適切に対処していく」と述べた。（関口威人／nameken）

会見全編はこちら：https://youtube.com/live/JcHNMQlASSE

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#愛知県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/AmMVFDFVoNs/hqdefault.jpg,25,3536,71,68,PT22M35S,false,THE PAGE
JcHNMQlASSE,2025-07-07T02:26:48Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,愛知県・大村秀章知事が定例会見（2025年7月7日）,"愛知県の大村秀章知事は7日午前10時から、愛知県庁で記者会見を開く。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#愛知県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/JcHNMQlASSE/hqdefault.jpg,25,1513,20,7,PT1H23M20S,false,THE PAGE
zxaTu77lMdw,2025-07-07T09:39:32Z,UCpdtHm6VFP_Qc-IDIsyLh1A,選挙ドットコムちゃんねる,【参院選2025】支持率爆上がり!? 参政党の政策と戦略を神谷代表に直撃インタビュー！どこを目指すのか？【神谷宗幣-参政党・代表】|選挙ドットコム,"今回は参政党・神谷代表に、参院選の戦略についてお話を伺いました。

各社の世論調査で支持率を伸ばしている参政党。都議選で初めて議席を獲得し、支持が広がる背景には何があるのか。そして参院選ではどのような訴えを掲げ、どの程度の勢力を目指すのか。神谷代表にじっくりとお話をお聞きしました。

ぜひ、最後までご覧のください！

※選挙ドットコムでは、国政政党と比例代表に候補者を擁立するすべての団体にインタビュー企画を依頼しております
※その際には、党本部ツアーと聖地ツアーを任意でお願いしております
※撮影順に順次各党や団体の動画を公開いたします


◆切り抜きやまとめ動画、大歓迎です！◆
選挙ドットコムの動画は自由に切り抜きやまとめ動画としてご活用ください！ただし、以下の点だけ守っていただけると幸いです。
・動画の内容を意図的に改変しない
・事実の基づく情報発信
・人格などを傷つける表現を加えない


＜ゲスト＞
神谷 宗幣｜参政党・代表、参議院議員
関西大学法科大学院卒業。「日本の若者の意識を変える」ことを目指し、2007年吹田市議会議員に初当選。2期6年務める。2013年ネットチャンネル「CGS」を開設し、政治や歴史、経済をテーマに毎日番組を配信し、若者の意識改革に努める。

＜MC＞
中山 智貴｜選挙ドットコム編集部
1996年生まれ。関西大学政策創造学部卒。2019年 選挙コンサルティング会社「株式会社ダイアログ」に入社。選挙プランナー・松田馨の指導のもと、数多くの選挙を経験。2022年より現職。趣味は選挙めぐり。


◆政治家・候補者限定 LINE公式アカウント◆
ネット選挙・公選法・情勢調査など情報配信中！下記からご登録ください！
https://lin.ee/us3KFGF

◆視聴者アンケート実施中◆
https://forms.gle/h8xZnLgryPn5F8BE8

#おすすめ #日本 #政治 #選挙 #参院選2025 #参政党 #参政 #神谷宗幣 #戦略 #政策 #解説 #選挙ドットコム
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––

＼政治家の皆様を強力サポート／
選挙ドットコムが提供する
ネット選挙必勝ツール ｢ボネクタ｣
https://vonnector.jp/vonnector/
首長･現職ベテラン議員にもご愛用者多数！
国政･地方選挙で日本最大級の実績｡

ネット広告で有権者からの知名度が上がる！
｢選挙区ターゲティング広告｣
https://vonnector.jp/targeting/
×
選挙ドットコムがあなたをインタビューして有権者にPR
｢政治家PR記事｣
https://vonnector.jp/pr/

選挙区ターゲティング広告×政治家PR記事の最強コンビがネット選挙の勝利の方程式です！

選挙ドットコムは、全ての政党、全ての政治家、全ての立候補者を全力で応援し、有権者がもっと政治に参加したくなるよう努めています。ぜひご協力ください。

選挙ドットコム：https://go2senkyo.com/
日本最大級の選挙ポータルサイト「選挙ドットコム」衆参議員の国会議員から、都道府県知事、市区町村長、地方議会議員のすべての選挙情報を掲載。また、政治家自身が発信している政策やプロフィールもあり政治家選びに最適です。

facebook：https://www.facebook.com/thesenkyo/
X：https://x.com/go2senkyo","['選挙', '政治', '投票', '選挙ドットコム', '解説', 'ゆっくり']",https://i.ytimg.com/vi/zxaTu77lMdw/hqdefault.jpg,25,72486,4575,548,PT44M56S,false,選挙ドットコムチャンネル
c1WPmo8gdC4,2025-07-07T14:05:29Z,UC28hcmMG3TJv60Byo528VVg,ニコニコニュース,青木一彦 官房副長官 記者会見 生中継（2025年7月7日午前）,"■ライブ配信中のコメント投稿はニコニコへ↓
https://live.nicovideo.jp/watch/lv348049483

ニコニコインフォ
https://blog.nicovideo.jp/niconews/225099.html

■ニコニコニュース𝕏  
https://twitter.com/nico_nico_news

■■■「ニコニコニュース」二次創作ガイドラインに関するお知らせ■■■
「ニコニコニュース」は、視聴者やファンの皆さまによる二次創作を応援しております。
そこで、皆さまが安心して二次創作を行っていただけるよう、このガイドラインを公開します。
「ニコニコニュース」で配信した映像は一部を除き個人で自由に使用いただいて結構です。
以下ガイドラインを参照のうえご利用ください。
https://www.youtube.com/@niconico_news/community

#ニコニコニュース #報道 #ライブ配信 #官房長官 #林芳正 #首相官邸","['ニコニコニュース', 'ライブ', '中継', 'ニコ生', 'ニコニコ', 'ニコ動', 'ライブ配信', 'ニュース', '報道', 'ニコニコ動画', 'ニコニコ生放送', '記者会見', '生中継', '政治', '官邸', '内閣', '林芳正', '官房長官', '内閣官房長官', '首相官邸']",https://i.ytimg.com/vi/c1WPmo8gdC4/hqdefault.jpg,25,1080,12,4,PT8M15S,false,Niconico News
8PySrMf3U4w,2025-07-06T22:00:10Z,UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,「K-POPアイドルの細さは異常…」病的な”痩せブーム”に警告！痩せ薬でガリガリ、SNS広告に煽られ手術…過剰なコンプレックス産業に物申す【アレン様×トンツカタン森本】,"賛否両論な話題に""白黒つける""経済ニュースバラエティ「IN MY OPINION presents Black or White」

今回は、過熱する“痩せ信仰”のリアルに迫ります。

SNSには痩せ薬や整形の広告があふれ、
「美しくなる＝細くなる」が当たり前のように刷り込まれる時代。
その裏には、コンプレックスを煽り続ける巨大な産業の存在が…。

いま改めて、“美の基準”を問い直します。

＜出演者＞
・アレン様
・森本晋太郎（トンツカタン）
・岸谷蘭丸
・小原ブラス
・榎原依那
・鈴木涼美

▼過去回の視聴はこちらから🎥
https://www.youtube.com/playlist?list=PLDxonNcxMgrvoW0Dnj2N5Gm0QzC7rNoTd

▼Pontaポイントプレゼントキャンペーンはこちら
https://camp.auone.jp/campaign/641087a7453452a0f10d0b15


supported by au


#newspicks  #inmyopinion  #アレン様 #トンツカタン #森本晋太郎 #岸谷蘭丸 #小原ブラス #榎原依那 #鈴木涼美 #ダイエット #痩せ薬 #韓流アイドル #痩せる #kpop #韓国 #痩せ信仰","['NewsPicks', 'ニューズピックス', 'ニュースピックス', 'アレン様', 'トンツカタン森本', '岸谷蘭丸', '小原ブラス', '榎原依那']",https://i.ytimg.com/vi/8PySrMf3U4w/hqdefault.jpg,25,298908,7394,703,PT21M28S,false,NewsPicks /ニューズピックス
U7TlzNjAPmY,2025-07-06T22:00:24Z,UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,【参政党】農林水産業従事者の公務員化はアリ  #newspicks,"▼Pontaポイントプレゼントキャンペーンはこちら
https://camp.auone.jp/campaign/641087a7453452a0f10d0b15

supported by au

新たなスマホ特化型オリジナル番組「IN MY OPINION」。
「IN MY OPINION」は、直近で話題になったニュース、トピックスなどを、NewsPicksのプロピッカーや有識者たちが、各々の得意分野・独自の視点を交えながら１分で解説配信する番組です。

#shorts  #金子恵美 #newspicks #inmyopinion #参政党","['NewsPicks', 'ニューズピックス', 'ニュースピックス']",https://i.ytimg.com/vi/U7TlzNjAPmY/hqdefault.jpg,25,23171,743,35,PT1M8S,false,NewsPicks /ニューズピックス
RQUMicr4rFk,2025-07-07T12:00:53Z,UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,【ホリエモン】企業のオウンドメディア　#堀江貴文 #ホリエモン #horieone #大室正志  #ネット #AI #google #溝口勇児 #田端信太郎 #井川意高 #箕輪厚介,"HORIE ONE : SNS系言論人 批評放談【大室正志】

このショート動画の本編は、
このチャンネルのプロフィールページのリンクから視聴いただけます。

NewsPicksで
SNS系言論人 批評放談【大室正志】
で検索することで、本編動画がみつかります。

#堀江貴文 #ホリエモン #horieone #大室正志  #ネット #AI #google #溝口勇児 #田端信太郎 #井川意高 #箕輪厚介 #石丸伸二 #ヒカル #breakingdown","['NewsPicks', 'ニューズピックス', 'ニュースピックス']",https://i.ytimg.com/vi/RQUMicr4rFk/hqdefault.jpg,25,19753,120,2,PT1M20S,false,NewsPicks /ニューズピックス
7tHSN2hxdGI,2025-07-07T03:00:15Z,UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,【受験生が陥るワナ】苦手科目は完璧を目指すな  #newspicks,"▼Pontaポイントプレゼントキャンペーンはこちら
https://camp.auone.jp/campaign/641087a7453452a0f10d0b15

supported by au

新たなスマホ特化型オリジナル番組「IN MY OPINION」。
「IN MY OPINION」は、直近で話題になったニュース、トピックスなどを、NewsPicksのプロピッカーや有識者たちが、各々の得意分野・独自の視点を交えながら１分で解説配信する番組です。

#shorts  #越水遥 #newspicks #inmyopinion","['NewsPicks', 'ニューズピックス', 'ニュースピックス']",https://i.ytimg.com/vi/7tHSN2hxdGI/hqdefault.jpg,25,15067,172,5,PT51S,false,NewsPicks /ニューズピックス
GtGhSAs_aOk,2025-07-07T10:00:32Z,UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,"「0歳でADHDの""特徴""」自閉症、多動症の子どもが親に見せる行動の特性は？【成田修造/宮村優子/さわ先生/西川幹之佑/西川裕子/木村泰子】EduPassion","番組のフル視聴（40分）はこちらから
https://npx.me/s/h45bX5Xt

10日間無料トライアル実施中
http://bit.ly/3X5XMzD

_____

「死刑宣告を受けたのと同じ…」

あなたは、我が子がASD、ADHD、LDだと、診断されたら、どう思いますか？

座っていられない、叫んでしまう。
明朝体がぼやけて読めない、鏡文字で書いてしまう。
偏食がある。

上記は発達に特性のある子に見られる特徴ですが、親や学校、教師、社会は彼らとどう向き合うべきなのでしょうか。

今回は、精神科医のさわ先生、大阪市立大空小学校初代校長.・木村泰子氏、そして発達障害の当事者である西川幹之佑氏と母の西川裕子氏が出演。
発達障害の本質的な理解を深めるべく、原因や特性、親たちの本音、あるべき学校教育のシステムなど多岐に渡り、議論していく。

＜出演者＞
・成田修造（エンジェル投資家）
・宮村優子（声優）
・さわ先生（精神科医）
・西川幹之佑（発達障害 当事者）/西川裕子（西川幹之佑氏の母）
・木村泰子（大阪市立大空小学校 元校長）


#エデュパ #成田修造 #宮村優子 #さわ先生 #西川幹之佑 #西川裕子 #木村泰子 #ADHD #ASD #発達障害 #子育て #育児 #教育 #学校 #自閉症","['NewsPicks', 'ニューズピックス', 'ニュースピックス', 'edupassion', 'エデュパ', '成田修造', '宮村優子', '西川幹之佑', '木村泰子', '発達障害', 'ADHD']",https://i.ytimg.com/vi/GtGhSAs_aOk/hqdefault.jpg,25,26000,415,41,PT14M26S,false,NewsPicks /ニューズピックス
QA_skVzp6Rk,2025-07-07T09:00:44Z,UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,少数精鋭で戦う「地主」、社長の経営哲学,"新卒の初任給60万円、社員の平均年収1900万円、インパクトある社名。謎めいた迫力で知る人ぞ知る上場企業「地主」。その名の通り土地を扱うビジネスですが、自らを不動産業ではなく金融商品のメーカーと定義しています。競争戦略の第一人者も認めるそのビジネスモデルから、商社や外銀、コンサルなどから人材を集める採用戦略、今後のリスクまで分析して、創業以来第一線に立ち続ける西羅弘文社長にビジネスの核心を聞きます。

#地主
#不動産
#就活
#転職
#企業研究","['NewsPicks', 'ニューズピックス', 'ニュースピックス']",https://i.ytimg.com/vi/QA_skVzp6Rk/hqdefault.jpg,25,1370,2,0,PT53S,false,NewsPicks /ニューズピックス
yp5D11a4LU0,2025-07-06T22:01:04Z,UC8yHePe_RgUBE-waRWy6olw,PIVOT 公式チャンネル,【氷河期世代の逆襲】悩みは５K（カネ、キャリア、介護、子育て、孤独）／10歳でハマったものに触れる／少子化はしょうがない／清潔感と透明感／令和の長屋作り／スペックが高い／価値観の変化に追いつく,"▼ 後編はこちら
https://pivotmedia.co.jp/app/movie/13082


▼PIVOTアプリなら、バックグラウンド再生、ダウンロード機能、音声モード再生が無料。視聴ごとにマイルが貯まり、Amazonギフト券などの特典と交換できます。
アプリダウンロードはこちら↓（無料）
https://4x9f.adj.st/episode_id=13081?adj_t=1qdhw1s0


＜ゲスト＞
山口揚平｜ブルー・マーリン・パートナーズ代表
早稲田大学政治経済学部卒。東京大学大学院 社会情報学修士。コンサルティング会社や複数の事業・会社を運営する傍ら、執筆・講演活動を行っている。専門は貨幣論・情報化社会論。


＜目次＞
0:00　ダイジェスト
01:55　氷河期世代が抱えている悩み
06:15　氷河期世代はどうすれば逆襲できるのか
14:22　少子化はしょうがない
17:53　令和の長屋作り
25:29　価値観の変化に追いつくためには


＜関連動画＞
【7つの階級と3つの世界】
https://youtu.be/A9ap3v94ozo

＃氷河期世代＃管理職＃50代＃1970年代＃1980年代＃競争社会＃世代継承＃金＃キャリア＃介護＃子育て＃孤独＃価値観の変化","['氷河期世代', '管理職', '50代', '1970年代', '1980年代', '競争社会', '世代継承', '金', 'キャリア', '介護', '子育て', '孤独', '価値観の変化']",https://i.ytimg.com/vi/yp5D11a4LU0/hqdefault.jpg,26,15604,149,20,PT29M49S,false,PIVOT 公式チャンネル
t-qnEzt8U2c,2025-07-07T11:01:41Z,UC8yHePe_RgUBE-waRWy6olw,PIVOT 公式チャンネル,【日本株のポテンシャル診断】伸びる企業の3原則「還元・再編・成長投資」に注視せよ／EXIT・りんたろー。&国山ハセン保有株の未来は明るい？／これからは内需セクター株がアツい？（マネースキルセット）,"▼前編動画はこちら https://youtu.be/tg4sEuvNhQM 高評価&チャンネル登録よろしくお願いいたします▼

【目次】
0:00 ダイジェスト
1:12 日本の個人投資家の傾向
3:28 覚醒の3ステップ①株主還元
7:05 覚醒の3ステップ②事業再編
13:01 総合商社の事業再編
20:04 日本企業 覚醒のステップ③成長投資
25:54 変わる企業の見極め方
34:15 今注目の「内需セクター」
38:06 日本株はまだ乗り遅れではない？

＜出演＞
りんたろー。（EXIT／お笑いタレント)
https://www.youtube.com/c/EXITCharannel/featured

国山ハセン（PIVOTプロデューサー）
https://x.com/hasenkuniyama

＜ゲスト＞
守屋のぞみ（UBS証券 調査本部・株式ストラテジスト／日本株ストラテジスト）

▼PIVOTアプリなら、バックグラウンド再生、ダウンロード機能、音声モード再生が無料。視聴ごとにマイルが貯まり、Amazonギフト券などの特典と交換できます。アプリダウンロードはこちら↓（無料）
▷https://4x9f.adj.st/episode_id=13091?adj_t=1qcow3kn

▼ アプリ・Webで見るならこちら
https://pivotmedia.co.jp/app/movie/13091

▼MONEY SKILL SETとは？▼
人生100年時代と言われる今、30代からでも資産運用は遅くない。EXIT・りんたろー。と国山ハセンが「株・保険・住宅」など資産運用にまつわるスキルセットを一流のプロの講義を通じて“超大真面目”に学んでいく。

▼MONEY SKILL SET過去の動画一覧はこちら▼
▷https://www.youtube.com/watch?v=6e_DVxhR-Dw&list=PL-edxQ__zW_WWeGHLc4Dn5UScp6aV4vk4

＜関連動画＞
▼MONEY SKILL SET EXTRA▼
https://www.youtube.com/watch?v=cVGUEXTcj2M&list=PL-edxQ__zW_UFa41PQuz635KVVz3DENy4

#pivot #りんたろー #国山ハセン #守屋のぞみ #exit #投資 #資産運用 #ビジネス #日本株 #市場 #投資家 #日経平均 #インフレ #賃上げ #PBR","['pivot', 'りんたろー', '国山ハセン', '守屋のぞみ', 'exit', '投資', '資産運用', 'ビジネス', '日本株', '市場', '投資家', '日経平均', 'インフレ', '賃上げ', 'PBR']",https://i.ytimg.com/vi/t-qnEzt8U2c/hqdefault.jpg,26,50546,589,33,PT42M,false,PIVOT 公式チャンネル
eIJsb8-AMp4,2025-07-07T07:00:44Z,UC8yHePe_RgUBE-waRWy6olw,PIVOT 公式チャンネル,【EC事業の新たな勝ち筋「付帯収益」とは？】「購入完了」から始まる新たな価値／顧客体験を損なわない最高のタイミング,"【Sponsored by Rokt】
注目のゲストをお招きし、キャリア・事業・ビジョンを聞き出す「& SESSION」。今回は、「EC事業『収益力』最大化、新たな勝ち筋」をテーマに、Rokt Head of Japanの三島健さんに話を聞きました。

▼Roktの詳細はこちら
https://bit.ly/3IdzFxq

▼導入事例はこちら
https://bit.ly/4kq8DjA

▼資料請求・お問合せはこちら
https://bit.ly/3IakqoV

▼ 目次
00:00 ダイジェスト
00:49  オープニング
03:10 ECビジネスにおける「付帯収益」
08:11 広告事業に注力する小売業
11:28 デジタル・リテールメディアの可能性
19:00「タイミング✕データ」が生む最適解
24:07「購入完了」から始まる新たな価値
30:05 Roktの広告ソリューション

▼出演者情報
三島 健（みしま けん）
Rokt Head of Japan
eBay、Expedia、GoogleでECおよび広告領域のリーダーシップを担い、事業成長と収益拡大を牽引。現在はRokt日本代表として、AIと機械学習を活用した、購入の瞬間における収益化ソリューションの普及を推進している。","['EC', 'Eコマース', 'ecommerce', 'ECビジネス', '付帯収益', 'rokt', 'pivot']",https://i.ytimg.com/vi/eIJsb8-AMp4/hqdefault.jpg,25,7269,73,1,PT35M55S,false,PIVOT 公式チャンネル
