term,tf,df
参院,370,370
選挙,252,252
参議院選挙,230,230
政治,137,137
月,124,124
候補,119,119
youtube,118,118
日本,118,118
議員,118,118
参政党,116,116
動画,111,111
にゅーす,98,98
演説,97,97
放送,97,97
お願い,95,95
参議院,91,91
代表,85,85
登録,84,84
比例,81,81
東京,81,81
応援,79,79
党,75,75
配信,73,73
twitter,73,73
政見,73,73
投票,71,71
自民党,69,69
情報,68,68
街頭,66,66
x,63,63
政策,62,62
shorts,61,61
国民民主党,61,61
国民,60,60
nhk,60,60
政党,56,56
石破,51,51
channel,51,51
視聴,50,50
co,48,48
記者,47,47
消費,47,47
税,46,46
人,44,44
年,44,44
立憲民主党,44,44
news,43,43
政権,42,42
いぶ,41,41
instagram,41,41
立花,41,41
孝志,41,41
れい,41,41
使用,41,41
ぷ,41,41
減税,41,41
会見,40,40
総理,40,40
i,39,39
日本保守党,38,38
be,38,38
a,38,38
ちゃん,38,38
s,38,38
兵庫,37,37
め,37,37
衆議院,36,36
さい,35,35
大臣,35,35
公約,35,35
youtu,34,34
ろ,34,34
sns,34,34
発信,34,34
めんば,33,33
経済,33,33
こ,33,33
評価,33,33
国会,33,33
facebook,33,33
会,33,33
解説,32,32
日本人,32,32
最新,32,32
神谷,31,31
宗,31,31
未来,31,31
新選,31,31
内閣,31,31
新聞,31,31
v,31,31
支援,31,31
活動,31,31
個人,31,31
す,30,30
live,30,30
社会,30,30
内容,30,30
共産党,30,30
join,29,29
