term,tf,df
参院,358,358
選挙,234,234
参議院選挙,219,219
政治,145,145
演説,135,135
日本,127,127
youtube,122,122
月,112,112
参政党,110,110
候補,105,105
動画,97,97
街頭,90,90
議員,89,89
自民党,88,88
にゅーす,87,87
登録,85,85
お願い,84,84
国民民主党,83,83
配信,80,80
応援,77,77
代表,76,76
x,75,75
参議院,73,73
投票,68,68
東京,65,65
比例,64,64
いぶ,62,62
国民,59,59
情報,58,58
石破,58,58
年,58,58
twitter,56,56
政策,56,56
解説,52,52
人,51,51
党,51,51
視聴,50,50
ちゃん,50,50
shorts,50,50
ぷ,48,48
channel,47,47
経済,46,46
会,44,44
立憲民主党,43,43
日本人,41,41
政党,41,41
live,40,40
神谷,40,40
減税,40,40
維新,39,39
れい,39,39
nhk,39,39
社会,39,39
引用,39,39
玉木,38,38
co,38,38
最新,38,38
衆議院,37,37
活動,37,37
sns,37,37
instagram,36,36
news,35,35
情勢,35,35
石丸,35,35
茂,34,34
日本保守党,34,34
使用,34,34
全国,34,34
facebook,34,34
雄一郎,33,33
山本,33,33
新選,32,32
宗,32,32
消費,32,32
国会,32,32
ぁ,32,32
日,32,32
再生道,32,32
ろ,32,32
幣,31,31
未来,31,31
教育,31,31
伸二,31,31
公明党,30,30
さい,30,30
りす,30,30
総理,30,30
join,30,30
調査,29,29
支援,29,29
税,29,29
voicevox,29,29
t,29,29
む,29,29
v,28,28
対策,28,28
評価,28,28
立候補,28,28
党首,27,27
共産党,27,27
