term,tf,df
参院,339,339
選挙,221,221
参議院選挙,189,189
日本,138,138
政治,130,130
月,119,119
youtube,107,107
候補,100,100
自民党,96,96
参政党,94,94
議員,93,93
比例,90,90
演説,87,87
にゅーす,85,85
動画,84,84
登録,84,84
お願い,82,82
参議院,78,78
x,64,64
街頭,63,63
投票,63,63
代表,61,61
放送,61,61
東京,57,57
応援,57,57
党,56,56
twitter,54,54
配信,53,53
国民民主党,53,53
国民,51,51
情報,49,49
ちゃん,49,49
政見,48,48
石破,47,47
減税,47,47
政党,47,47
政策,47,47
年,46,46
会,45,45
維新,44,44
国会,43,43
経済,42,42
channel,40,40
sns,40,40
instagram,40,40
人,40,40
co,39,39
れい,39,39
税,39,39
社会,39,39
shorts,38,38
消費,38,38
解説,38,38
立憲民主党,38,38
視聴,37,37
news,37,37
総理,36,36
新選,36,36
声,36,36
大阪,35,35
全国,34,34
活動,34,34
nhk,34,34
調査,33,33
facebook,33,33
めんば,32,32
日本保守党,32,32
使用,31,31
紹介,31,31
d,31,31
共産党,31,31
いぶ,30,30
め,30,30
対策,30,30
日,30,30
voicevox,30,30
a,29,29
青山,29,29
改革,29,29
す,29,29
e,28,28
公明党,28,28
政権,28,28
著作,28,28
茂,28,28
募集,27,27
評価,27,27
物価高,27,27
未来,27,27
ろ,27,27
さい,27,27
立候補,27,27
ぷ,26,26
live,26,26
支持,26,26
投開票,26,26
情勢,25,25
衆議院,25,25
引用,25,25
連絡,25,25
