term,tf,df
参院,359,359
選挙,220,220
参議院選挙,202,202
政治,169,169
日本,147,147
youtube,129,129
演説,124,124
お願い,113,113
候補,109,109
月,108,108
動画,108,108
登録,106,106
参政党,89,89
議員,88,88
にゅーす,85,85
自民党,82,82
配信,78,78
街頭,78,78
東京,76,76
参議院,75,75
twitter,74,74
x,72,72
国民民主党,71,71
代表,71,71
投票,70,70
応援,69,69
比例,65,65
channel,64,64
ぷ,60,60
政策,60,60
人,57,57
国民,57,57
ちゃん,56,56
社会,55,55
年,54,54
情報,53,53
政党,52,52
shorts,50,50
解説,50,50
活動,50,50
経済,48,48
石破,47,47
め,47,47
共産党,47,47
減税,47,47
いぶ,45,45
税,45,45
facebook,45,45
live,45,45
instagram,44,44
めんば,43,43
視聴,43,43
支援,43,43
消費,42,42
国会,42,42
使用,40,40
join,39,39
公明党,39,39
会,39,39
未来,39,39
情勢,38,38
衆議院,38,38
党,38,38
co,37,37
全国,37,37
しっぷ,36,36
らい,36,36
立憲民主党,35,35
れい,35,35
sns,35,35
line,35,35
news,34,34
評価,34,34
りす,33,33
意見,32,32
維新,32,32
日,32,32
ぐ,32,32
玉木,31,31
連絡,31,31
調査,31,31
新選,31,31
t,31,31
e,31,31
対策,31,31
青山,30,30
議席,30,30
自民,30,30
日本保守党,30,30
運営,30,30
宗,30,30
ぃあ,30,30
石丸,30,30
政権,29,29
紹介,29,29
らん,29,29
す,29,29
対応,29,29
龍,29,29
神谷,29,29
