videoId,parentId,commentId,isReply,authorDisplayName,text,likeCount,publishedAt,updatedAt,authorChannelId
lMJffzRe30s,,Ugxulz4zqfsSiAM0UuV4AaABAg,False,@boggy17,北海道の為　日本の為　必ず当選して欲しいです　中華の侵略を防げるのは小野寺まさる　だけです✊✊✊,0,2025-07-06T11:45:18Z,2025-07-06T11:46:34Z,UCegahbzan1WnHCne2e4NO1w
lMJffzRe30s,,UgzPWmHl3_TRjgFi_JV4AaABAg,False,@w-up148,「菅原さん、お疲れさま。ありがとう。」と猫組長に言ってあげましょうね。😊,0,2025-07-06T09:15:10Z,2025-07-06T09:15:10Z,UCaLnpVP_bDbLYXoEbvXBHug
EBQVYEDwTrA,,Ugwke04yneDuuMvJM2R4AaABAg,False,@クリハラ政之助,"それと、病院はかなり経営的に苦しく、閉院も多くなっている。消費税５%減税で、病院経営が良くなるようにして欲しい。
日本共産党がんばれ😊",0,2025-07-06T13:00:09Z,2025-07-06T13:00:09Z,UCh8SiHVOe46GOFCq82oMRNw
EBQVYEDwTrA,,UgyD6fsTDQ8G_XzKdKF4AaABAg,False,@クリハラ政之助,"日本共産党がんばれ！
地道な運動と国会論戦で、社会保障を前にすすめてきた日本共産党。
自公維新国民による、医療予算４兆円削減、病床１１万床削減は、許したくない。
日本共産党がんばれ",0,2025-07-06T12:58:47Z,2025-07-06T12:58:47Z,UCh8SiHVOe46GOFCq82oMRNw
EBQVYEDwTrA,,UgyIJegxMGL3KOxbPfx4AaABAg,False,@Conservative_Move,日米交渉合意しないと、政府与党は厳しいのでは？,1,2025-07-06T02:51:10Z,2025-07-06T02:51:10Z,UCHnuIZ3bkqUqx2VIt5lF9sg
wxSKQL7XPFQ,,UgwRQKVmFDJs1HYzamJ4AaABAg,False,@mino884,暑いので大変でしょうが、頑張ってください！！応援しています。,3,2025-07-05T11:53:23Z,2025-07-05T11:53:23Z,UCK4Ex5GAVOZBZRocZ6ALZ2g
Ss_AR_EvfEk,,UgyaOFoFERocjh8IVKd4AaABAg,False,@レオ-t1c,沖縄和田さん頑張って〜🧡応援してます🩵,0,2025-07-09T15:18:57Z,2025-07-09T15:18:57Z,UClVjMj4B6GSaxG_u1fiohDA
Ss_AR_EvfEk,,UgyN7COGPg7VbCGLvNN4AaABAg,False,@ruruleo3320,"日本人の婚姻率の低下
日本人の出生数の低下
日本人の人口減少加速
これを外国人受け入れで解決とは？
政府は全く危機感が感じられない💢
むしろ日本人絶滅危惧種化を図っているのかと思うくらいだぞ

今こそ日本人ファーストだろがい！これでも日本人ファーストはヘイトだと言うやつ本気なのか！？",0,2025-07-08T03:34:58Z,2025-07-08T03:34:58Z,UCIxViRPyK735wJaBdb4R6QA
Ss_AR_EvfEk,,UgxgPMCD1TAJwvF9M7R4AaABAg,False,@mutu9593,"沖縄県民です

和田さんに入れます👍✨
応援してます♪

外国人受け入れ
反対

日本人優遇で❤",1,2025-07-07T03:00:41Z,2025-07-07T03:00:41Z,UCwXV7BT48a87bR-l3_oG3Vg
Ss_AR_EvfEk,,UgzAkKpT_5uQAvBs0MF4AaABAg,False,@manabee8612,ファイヤー‼️和田ともひさ‼️エイエイオー‼️🥰🇯🇵🔥,4,2025-07-07T01:12:16Z,2025-07-07T01:12:16Z,UCmYRjSDzrAYX-r3umGxdVnw
