videoId,parentId,commentId,isReply,authorDisplayName,text,likeCount,publishedAt,updatedAt,authorChannelId
W0i2ewlHE-k,,UgzZmQJsZC5FHaUneER4AaABAg,False,@まさひまさひ-u7q,西郷さんに、投票致しました。残念ですが、これからも頑張ってください。,1,2025-07-20T12:48:07Z,2025-07-20T12:48:07Z,UCyeNwsXh5wkBD9SvoPBuMzw
W0i2ewlHE-k,,UgzZ0OuqaIah9gOiVEt4AaABAg,False,@阪神頑張れ-b9c,西郷みなこさんに投票してください🙏西郷みなこさんに寄付しました👍西郷みなこさんに寄付してください🙏選挙はお金が、かかるから🙇,1,2025-07-20T05:22:08Z,2025-07-20T05:22:08Z,UCFW5hFUwdUgFlAquefB6AAA
W0i2ewlHE-k,,Ugy963PDaUs2iYnaZqN4AaABAg,False,@cattymina8828,生の声どこで聞けますか？京都府民です。,3,2025-07-12T23:04:19Z,2025-07-12T23:04:19Z,UCKZtRxYVupp1fMicPodTGHg
W0i2ewlHE-k,,Ugz6OYjtJ0VN-wrYmTN4AaABAg,False,@user-ub8jh8bp3s,西田昌司を落とすなら、同じ選挙区に、共産党とれいわを出したら、票が分かれるのでは？,5,2025-07-11T11:08:21Z,2025-07-11T11:08:21Z,UCiVG7NGikF5x-Z-PnOAkjBw
W0i2ewlHE-k,,UgzUYDqXGfj0iHsXt5R4AaABAg,False,@cb.1998,７月６日，期日前投票にて選挙区・比例代表共にれいわ新選組候補者へ投票しました！応援してます,7,2025-07-09T09:51:48Z,2025-07-09T09:51:48Z,UC0IBhVvz9OyWuim3iaygE_w
W0i2ewlHE-k,,UgyZCsuPM0A0fcii0zp4AaABAg,False,@社畜-s7z,れいわに入れるヤツは馬鹿,0,2025-07-09T04:33:01Z,2025-07-09T04:33:01Z,UCy9clX8EJz95ZVmi2JGQ9aw
W0i2ewlHE-k,,Ugx6yJichMRWZBIYhJV4AaABAg,False,@鬼滅の八重歯-x7d,"良い京都作ろう
西郷みなこ と一緒に
😊💓れいわ新選組😊💓",5,2025-07-08T23:58:36Z,2025-07-08T23:58:36Z,UC55ZnAVmGwgVA37XSQSiEjQ
W0i2ewlHE-k,,UgyGnHCajUgZt1utdNt4AaABAg,False,@あああ-p3b2g,京都は「西郷みなこ」比例は「れいわ」一択,10,2025-07-08T13:26:48Z,2025-07-08T14:54:00Z,UCF12oyAQza2jR72qnJ6R7zQ
W0i2ewlHE-k,,UgyVQZOsX91Xwx9L31t4AaABAg,False,@秋千-i8r,西郷みなこ一択‼️,8,2025-07-08T05:00:47Z,2025-07-08T05:00:47Z,UCi_63eUymCilQ9ETsHk6tZw
W0i2ewlHE-k,,UgxQEyYY-Ye2bu65pW94AaABAg,False,@浩宇田川-i6v,頑張ってください🤗♥️👊😆🎵,19,2025-07-07T20:06:15Z,2025-07-07T20:06:15Z,UCEGG1nFYRJlsUL3bv6Jh4tw
