id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
6o32X92_U7s,2025-07-01T09:13:07Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,池袋サンシャインシティの法律事務所で男性刺され死亡 元同僚とみられる男逮捕,"1日正午前、東京・池袋にある複合施設「サンシャインシティ」の31階にあるアディーレ法律事務所で30代の男性従業員が首などを刃物で複数回刺され、死亡しました。その後、刃物を持った50代くらいの男が近くの交番に出頭し、殺人未遂の疑いで警視庁に逮捕されました。警視庁によりますと、逮捕された男は死亡した男性の元同僚とみられていて、「気が付いたら包丁で刺していた」と話しているということです。警視庁は詳しい経緯を調べています。

#池袋　#サンシャインシティ　#アディーレ法律事務所　#刃物　#死亡　#警視庁　#逮捕",[],https://i.ytimg.com/vi/6o32X92_U7s/hqdefault.jpg,25,235033,930,472,PT40S,false,テレ東Biz
v2HbWWY9EbI,2025-07-02T08:14:06Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,参院選公示直前　与野党8党 党首討論会【ノーカット】,3日公示される参院選を前に、日本記者クラブ主催の党首討論会が開かれ、与野党の8党首が参加しました。討論会では物価高対策のほか、「政治とカネ」問題、コメ価格の高騰を巡る農業政策などについて論戦を繰り広げました。,[],https://i.ytimg.com/vi/v2HbWWY9EbI/hqdefault.jpg,25,198936,3635,1373,PT2H10M46S,false,テレ東Biz
CvGys4kf8J4,2025-07-01T11:00:31Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,「日本の株は上がる」と断言！揺れる中東情勢、トランプ関税で日本が再び重要な国に？日経平均2050年には30万円！？【エミン・ユルマズ】「池上彰がいま話を聞きたい30人」,"▼番組のフル視聴（32分）はこちらから（8月8日まで初回登録14日間無料！）▼
https://txbiz.tv-tokyo.co.jp/ikegami30/vod/post_321055?utm_source=youtube&utm_medium=video&utm_campaign=ikegami30_250630_yt_CvGys4kf8J4

▼「池上彰がいま話を聞きたい30人」周庭さんほかエピソードはこちら▼ 
https://txbiz.tv-tokyo.co.jp/ikegami30?utm_source=youtube&utm_medium=video&utm_campaign=ikegami30_250630_yt_CvGys4kf8J4

池上彰がいま話を聞きたい30人。28人目は、エコノミストのエミン・ユルマズさん。揺れる世界情勢と日本経済の行方を語り合う。トルコ生まれ東大工学部を卒業しエコノミストになった異色の経歴を持つユルマズさん。揺れる中東情勢の原因を分析。そこから見えるのは「日本が再び重要な国になった」ことだというが果たして？トランプ関税で「ある意味、日本企業も守られている」と語る。その真意は？さらに、日経平均は来年5万円、2050年には30万円になると断言。

#日経平均株価 #トランプ関税 #中東情勢 #エコノミスト #エミンユルマズ #池上彰 #池上彰がいま話を聞きたい30人 #テレ東BIZ",[],https://i.ytimg.com/vi/CvGys4kf8J4/hqdefault.jpg,25,124041,1053,64,PT17M24S,false,テレ東Biz
Hsg-0y4Pub8,2025-07-01T23:54:45Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,トランプ氏が揺さぶり　日本の関税率「30～35％に」【モーサテ】,"アメリカのトランプ大統領は1日、日本との関税協議について「合意できるかは疑わしい」と指摘した上で、日本に課す関税の税率を「30から35％にするかもしれない」と表明しました。また、トランプ氏は日本が「アメリカ産のコメや自動車を受け入れない」として対日貿易赤字の大きさに改めて不満を示しました。日米の関税協議では赤沢経済再生担当大臣が7回にわたって訪米して協議を重ねていますが、進展はなく、トランプ氏は圧力を強めています。

#トランプ関税 #関税協議 #コメ #自動車 #対日貿易赤字

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/Hsg-0y4Pub8/hqdefault.jpg,25,93207,889,1055,PT50S,true,テレ東Biz
c1kOty3cf7c,2025-07-01T23:54:49Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,米FRBパウエル議長　「関税なければすでに利下げ」【モーサテ】,"FRBのパウエル議長は1日、トランプ関税がもし無ければ、既に追加利下げを行っていたとの見方を示しました。パウエル議長はポルトガルで開かれたECB＝ヨーロッパ中央銀行の討論会で、引き続き関税の影響を注視する姿勢を強調し、インフレが夏にかけて加速する可能性があるとの見通しを示しました。そのうえで、今月29日と30日に開かれるFOMCで利下げを決定するのは時期尚早かどうかとの質問に対し「データ次第なため答えられない」としつつも「どの会合も選択肢から除外しない」として利下げに踏み切る可能性を否定しませんでした。

#ＦＯＭＣ #パウエル #トランプ関税 #インフレ

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/c1kOty3cf7c/hqdefault.jpg,25,37346,249,146,PT46S,false,テレ東Biz
KqLqZJnIeHk,2025-06-30T15:04:26Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,虎ノ門に巨大オフィスビル　地域の防災拠点に【WBS】,"日鉄興和不動産は30日、東京・虎ノ門の大規模再開発に伴い建設したオフィスビル「虎ノ門アルセアタワー」を報道陣に公開しました。地上38階、およそ180メートルという高さを生かして「防災拠点」としての機能を重視しているのが特徴です。隣接する虎の門病院と連携し、大規模な災害が発生した際にけが人などをすぐに運び、治療ができるといいます。また、オフィスタワーのロビー部分も災害時に役立てることを目的にしています。

#日鉄興和不動産  #虎ノ門#虎ノ門アルセアタワー  #防災  #佐藤博之

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら（無料でお試し）▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/KqLqZJnIeHk/hqdefault.jpg,25,25410,143,57,PT1M8S,false,テレ東Biz
EWX0jnSBK0k,2025-06-30T23:14:10Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,米オラクルが巨額のクラウド契約　過去最大級4.3兆円【モーサテ】,"アメリカのIT大手オラクルは30日、年間300億ドル＝およそ4兆3000億円を超えるクラウドサービス契約を結んだと明らかにしました。クラウド関連の取引では過去最大級の規模で2028会計年度から売り上げに寄与するということです。契約先は公表していませんが、ソフトバンクグループやオープンAIと進める人工知能向けインフラ計画「スターゲート」に関連している可能性もあります。発表を受け、オラクルの株価は一時8％以上上昇し、過去最高値を更新しました。

#オラクル  #クラウド  #スターゲート

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら（無料でお試し）▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/EWX0jnSBK0k/hqdefault.jpg,25,19315,105,25,PT38S,false,テレ東Biz
-VuZcrcTh9M,2025-07-01T09:12:57Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,トランプ氏　自動車貿易に続きコメ輸入でも日本に不満表明,"アメリカのトランプ大統領は、日本との貿易について「日本はわれわれのコメを受け取らない」と不満を表明し、自動車に続き、コメの輸入を巡っても市場開放の圧力を強めています。トランプ大統領は30日、自身のSNSで、「日本は深刻なコメ不足にもかかわらず、われわれのコメを受け取ろうとしない」と強調しました。そして「書簡を送るだけでいい」として、日本に関税率を通知する意向を改めて示しました。トランプ大統領は29日放送のテレビ番組で日本の自動車貿易が不公平だとも主張していて、相互関税の上乗せ分の停止期限が9日に迫る中、日本に揺さぶりをかける狙いがあるとみられます。

#トランプ　#相互　#関税　#上乗せ　#貿易　#コメ　#市場　#開放　#輸入　#自動車　#Trump　#tariff

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/-VuZcrcTh9M/hqdefault.jpg,25,17789,130,196,PT51S,false,テレ東Biz
WIkqrjhgE_o,2025-06-30T15:04:30Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,麻生･岸田･茂木氏が会食　参院選など意見交換か【WBS】,"自民党の麻生最高顧問と岸田前総理、茂木前幹事長が今夜、都内の日本料理店で会食しました。3人は7月3日に公示される参議院選挙の情勢や、選挙後を見据えた政治情勢について意見交換したとみられます。3人での会合は1カ月ぶりで今年に入って3回目です。

#自民党  #麻生太郎  #岸田文雄  #茂木敏充  #参院選

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら（無料でお試し）▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/WIkqrjhgE_o/hqdefault.jpg,25,17754,147,154,PT27S,false,テレ東Biz
hNj5MUIsZrI,2025-07-01T10:01:17Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,ニッポンを動かす！最強スタートアップ最前線２０２５【Sponsored】,"2025年3月 日本経済新聞社が主催する全国規模のピッチコンテスト「NIKKEI THE PITCH GROWTH」の決勝大会が開かれた。全国の予選を勝ち抜いたスタートアップ22社が驚きの発想力やプレゼン力を活かして競い合う。果たして、グランプリを勝ち取るのは…一体、誰なのか？今回は、エントリーしたスタートアップが持つ技術とサービスに注目し、独自取材も敢行！未来のニッポンを動かすスタートアップ企業の野望と可能性に迫る！

＝＝＝
▼NIKKEI THE PITCH 公式サイトはこちら
https://pitch.nikkei.com
＝＝＝

ナレーター：森脇陸三

Sponsored by 日本経済新聞社

#スタートアップ　#ベンチャー　#ピッチ　#レオスキャピタルワークス　#SMBCベンチャーキャピタル　#クロスシンク　#横浜市立大学附属病院　#集中治療　#トリニティテクノロジー　#資産凍結　#家族信託　#マクテン　#落ちない天井　#防災　#日経",[],https://i.ytimg.com/vi/hNj5MUIsZrI/hqdefault.jpg,25,27402,31,2,PT31M43S,false,テレ東Biz
