id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel,matched_terms,matched_count,view_count_numeric
lwie5XxOWFI,2025-07-14T10:08:58Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,【参議院選挙】最新情勢　自公“過半数割れ”の可能性　若者中心に自民党離れか【選挙の日、そのまえに】｜TBS NEWS DIG,"今回の参議院議員選挙について、JNNが中盤情勢を分析した結果、自公で参議院の過半数を割り込む可能性があることがわかりました。

■自公 過半数割れの可能性　参政党は10を超える議席獲得の可能性

出水麻衣キャスター：
今回の参議院選挙は、125議席を誰に・どの政党に託すのかを皆さんが選ぶ選挙となっています。

現在、与党が過半数を超えるためには50議席が必要となっていますが、JNNが中盤情勢の分析をした結果、自民・公明の与党では過半数を割る可能性も出てきています。

TBS報道局 選挙本部デスク　本杉美樹記者：
公示前の改選議席と獲得議席の予測は、それぞれ以下のようになっています。

▼公示前の改選議席
自民党　52
公明党　14
立憲民主党　22
日本維新の会　5
共産党　7
国民民主党　4
れいわ新選組　2
参政党　1
社民党　1
日本保守党　0
諸派・無所属　8

▼獲得議席の予測
自民党　28～44
公明党　5～11
立憲民主党　24～32
日本維新の会　5～8
共産党　3～6
国民民主党　11～21
れいわ新選組　3～4
参政党　8～18
社民党　0～1
日本保守党　2～3
諸派・無所属　7～9

自民党と公明党はいずれも議席を減らす公算が大きいとみています。自民・公明を合わせた与党の議席は50議席を割り込み、参議院で過半数割れする可能性が1週間前よりも大きくなりました。

一方、野党の立憲民主党は選挙区で堅調です。そして国民民主党と参政党は、野党の中でも特に大きく議席を伸ばす見込みです。

国民民主党は選挙区・比例とも大きく積み増し、目標としている16議席獲得に迫る勢いになっています。参政党は10を超える議席を獲得する可能性があります。

序盤の情勢と比較していきます。

▼序盤
自民党　35～50
公明党　8～13
立憲民主党　20～31
国民民主党　9～18
参政党　7～16

▼中盤
自民党　28～44
公明党　5～11
立憲民主党　24～32
国民民主党　11～21
参政党　8～18

1週間前の情勢と比べると、自民党と公明党はさらに厳しい状況になりました。

一方で立憲民主党、国民民主党、参政党は接戦となっているところで伸びを見せるなどして、議席をさらに積み増す見込みになっています。

井上貴博キャスター：
自民党を見てみると、今は52ある議席が、下振れすると28議席になっていますね。

米重克洋さん：
比例も選挙区もそれぞれ苦戦しているので、過半数を獲得することが厳しくなってきています。

■カギ握る「1人区」最新情勢

出水キャスター：
情勢の鍵を握る1人区はどうなっているのでしょうか。

本杉美樹記者：
2022年の選挙での1人区の結果は与党が28、野党系が4で、与党の圧勝で終わりました。

今回の選挙では序盤の予測で与党優勢が9、野党系優勢が12で、接戦は11と、全国的に与党が苦戦しているのが分かります。

中盤の情勢では、与党優勢が8、野党系優勢が15で、接戦は9となっています。1週間前よりも、さらに自民党が追い込まれている状況です。

7月7日時点で自民優勢となっていた滋賀は接戦に持ち込まれました。接戦だった青森、三重、和歌山では野党系が支持を伸ばし、野党系優勢になっています。

出水キャスター：
この変化をどの捉えていますか。

JX通信社 代表取締役　米重克洋さん：
群馬や栃木、岡山などのいわゆる保守王国と言われるような場所、特にJNNの判定で栃木と岡山で接戦になっているということが、今回の自民党の苦戦をかなり象徴していると思います。

その背景には、自民党が取りたかった保守的な無党派層を参政党が食っている部分があったり、野党が、立憲民主党と共産党の候補を統一したりするなどの動きもあり、全体として野党優勢の状況になってきているということが挙げられます。

■若い世代　“自民離れ”加速　ソーシャルメディアの普及により変化か

出水キャスター：
全体的には自民党が苦戦しているということですが、それを裏付けるデータもあるようです。

本杉美樹記者：
以下は、それぞれ2022年と今回、参議院選挙の投票1週間前に行った調査結果です。

▼自民党　年代別支持率（2022年7月3日時点）
20代以下　22.8%
30代　26.2%
40代　27.5%
50代　30.4%
60代　33.9%
70歳以上　37.9%

▼自民党　年代別支持率（2025年7月13日時点）
20代以下　9.1%
30代　11.9%
40代　15.9%
50代　20.8%
60代　26.9%
70歳以上　32.9%

20代以下、30代の支持率は半減しています。40代以上も軒並み支持率が下がっています。

特に若年層を中心に自民党離れが顕著ですが、20代以下は今回の選挙、比例ではどこの政党に投票するのでしょうか。

▼20代以下　比例投票先
自民党　7.2%
公明党　5.0%
立憲民主党　2.1%
日本維新の会　2.1%
共産党　1.7%
国民民主党　14.9%
れいわ新選組　2.1%
参政…（https://newsdig.tbs.co.jp/list/article?id=jnn-20250714-6248406）


▼TBS NEWS DIG 公式サイト　https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html

#ニュース #news #TBS #newsdig","['ニュース', 'NEWS', 'TBS', 'NEWSDIG', 'TBSNEWSDIG', '報道', '最新ニュース']",https://i.ytimg.com/vi/lwie5XxOWFI/hqdefault.jpg,25,155635,1674,1480,PT7M12S,False,自民党,,,155635
gq7l-I3Oky8,2025-07-14T11:38:35Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,【参議院選挙】最激戦の東京選挙区 7議席に32候補　最新情勢は？都議選後から流れ変化か【選挙の日、そのまえに】｜TBS NEWS DIG,"全国最多の候補者数となった東京選挙区。7議席をめぐって32人が激戦を繰り広げています。

■東京選挙区の情勢は？

井上貴博キャスター：
東京選挙区の中盤情勢はどうなっていますか。

政治部 市澤牧彦 デスク：
東京選挙区（議席7）の中盤情勢について、12日・13日にインターネットで調査を行いました。

▼東京選挙区（議席7）の中盤情勢
＜優勢＞
自民　鈴木大地氏
立憲　塩村文夏氏
共産　吉良佳子氏
参政　さや氏
公明　川村雄大氏
国民　牛田茉友氏

＜接戦＞
自民　武見敬三氏
立憲　奥村政佳氏

＜追い上げ＞
国民　奥村祥大氏
れいわ　山本譲司氏
維新　音喜多駿氏
保守　小坂英二氏
社民　西美友加氏
他

調査の結果では、自民党の鈴木大地氏が頭一つ抜けています。続いて立憲民主党の塩村氏、共産党の吉良氏、参政党のさや氏、公明党の川村氏が先行しているという状況です。さらに国民民主党の新人の牛田氏がやや優勢です。

残り1つの議席を、自民党の現職の武見氏と立憲民主党の奥村氏が激しく争っている状況です。さらに国民民主党の奥村氏も数字上はかなり追い上げています。

そのほかに、以下の候補がいて乱立しています。

吉永藍氏、土居賢真氏、藤川広明氏、峰島侑也氏、酒井智浩氏、福村康広氏、桑島康文氏、渋谷莉孔氏、吉田綾氏、吉沢恵理氏、市川たけしま氏、平野雨龍氏、山尾志桜里氏、千葉均氏、増田昇氏、辻健太郎氏、早川幹夫氏、石丸幸人氏、高橋健司氏

山尾氏は国民民主党から出ることができず、無所属で出ることになりましたが、情勢としてはかなり厳しい状況です。

公示前の改選議席と獲得議席の予測です。

▼公示前の改選議席
自民党　52
公明党　14
立憲民主党　22
日本維新の会　5
共産党　7
国民民主党　4
れいわ新選組　2
参政党　1
社民党　1
日本保守党　0
他　8

▼獲得議席の予測（中盤情勢）
自民党　28～44
公明党　5～11
立憲民主党　24～32
日本維新の会　5～8
共産党　3～6
国民民主党　11～21
れいわ新選組　3～4
参政党　8～18
社民党　0～1
日本保守党　2～3
他　7～9

自民党は現在52議席ありますが、多く見ても44議席なのでかなり減る可能性があります。公明党も減る可能性が高いです。自民・公明で合計すると、目標としている50議席を割り込む可能性がある状況です。

今回の選挙の特徴ですが、特に議席を伸ばしそうなのが参政党と国民民主党です。

東京選挙区でもそうですが、参政党の新人と国民民主党の新人がかなり上位に入る可能性が出てきていて、その分、自民とか立憲が押し出されるという構図が多く出てきています。

井上貴博キャスター：　
こうした構図はあまり考えられていなかったと思いますが、どのあたりで変わってきてるんでしょうか。

政治部 市澤牧彦 デスク：
都議選の後です。都議選までは、参政党が伸びてくるかもしれないという話はありましたが、優勢の部分にほぼ無名の新人が入ってくることは予想できませんでした。

今まで議席を持っていなかった参政党や国民民主党が複数人区で議席を取り、自民党や立憲民主党の現職が押し出されるようなドラスティックな動きの情勢が出たのは直近のことで、都議選までは我々も予想できていませんでした。

井上貴博キャスター：　
都議選と参院選で分けて考えるべきだという考えもあれば、リンクしてくるんだなとも併せて感じます。

TBS報道局 岩田夏弥 政治部長：
期間が1か月もなく、選挙日程も近いので、その時の流れが今に繋がっているところがあるなという印象です。

政治部 市澤牧彦 デスク：
このような構図が、千葉、埼玉、愛知、福岡、神奈川、茨城などの多くの地区でみられています。複数人区では、参政党が入ることで既存の政党が押し出されるという構図が多くみられています。

1人区の情勢では、青森から新潟・長野あたりの東日本はもともと野党の地盤なので、野党派優勢は想定内です。

ただ、日本維新の会のある関西を除いた西日本は、自民党に圧倒的に強い地盤があり、野党が上がれることはなかなかありません。ですが、今回の情勢では、四国全てが野党系優勢。そして、鹿児島と宮崎で野党系優勢になり、熊本と佐賀では接戦になっています。選挙を多く見てきてる中で、初めて見る情勢です。

過去には2007年の参院選で自民党が大敗したことがありました。「消えた年金問題」の時に四国で全て野党系が通り、自民党だけで1人区は6しか取れませんでした。今回は自民・公明で優勢な与党系が8なので、2007年以来、自民党にとってはかなり厳しい状況です。

2009年には民主党への政権交代があったので、自民党にとってはそのとき以来のかなり厳しい状況であると言えると思います。

■自公「過半数割れ」の場合　石破総理の進退は？

TBS報道局 岩田夏弥 政治部長：
中間情勢ですから情勢が変わる可能性はありますが、1週間前の調査と比べても自民・公明がさらに厳しい状況になっています。1週間前は「過半数を維持できるかという微妙な情…（https://newsdig.tbs.co.jp/list/article?id=jnn-20250714-6248411）


▼TBS NEWS DIG 公式サイト　https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html

#ニュース #news #TBS #newsdig","['ニュース', 'NEWS', 'TBS', 'NEWSDIG', 'TBSNEWSDIG', '報道', '最新ニュース']",https://i.ytimg.com/vi/gq7l-I3Oky8/hqdefault.jpg,25,82396,703,614,PT8M23S,False,自民党,,,82396
0IwDeOJkLDQ,2025-07-14T10:00:02Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,最新情勢「自公過半数割れの可能性」・物価高対策・外国人政策･･･　投票直前！参議院選挙を深掘り！【選挙の日、そのまえに】,"7月20日に投開票が迫った、参議院選挙。
最新の情勢調査に加え、今回の選挙の争点となっている物価高対策、外国人政策などを解説。
いま一番気になる“選挙の現在地”を深掘りします。

▼TBS NEWS DIG 公式サイト　https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html

#ニュース #news #TBS #newsdig","['ニュース', 'NEWS', 'TBS', 'NEWSDIG', 'TBSNEWSDIG', '報道', '最新ニュース']",https://i.ytimg.com/vi/0IwDeOJkLDQ/hqdefault.jpg,25,70854,777,875,PT40M55S,False,TBS NEWS DIG Powered by JNN,参議院選挙;投票,2.0,70854
OyD2g-sAGME,2025-07-14T02:17:42Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,【LIVE】朝のニュース（Japan News Digest Live）最新情報など｜TBS NEWS DIG（7月14日）,"7月14日（月）の早朝から TBS NEWS で放送された最新のニュースをダイジェストでお届けします。

・参院選まで1週間 事実上の“政権選択選挙” 党首の訴えは
・「米国高官が求めた」と英メディア報道 「台湾有事」の際の日・豪の役割を明確化
・乗客家族らが初めて「洋上慰霊」に 知床の観光船沈没事故から3年3か月
・茨城・河内町 事件の可能性 腹に刺されたような傷のある男性遺体

▼TBS NEWS DIG 公式サイト
https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html","['NEWS', 'ニュース', 'TBSNEWS', '報道', '日本', 'Japan', '最新ニュース', 'japan', 'live', 'tbs', 'livenews']",https://i.ytimg.com/vi/OyD2g-sAGME/hqdefault.jpg,25,63778,152,5,PT5M10S,False,TBS NEWS DIG Powered by JNN,参院;参院選,2.0,63778
czuZH3483mY,2025-07-14T09:49:01Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,【参議院選挙】“日本人ファースト”参政党が躍進　カギとなる「外国人をめぐる政策」【選挙の日、そのまえに】｜TBS NEWS DIG,"最新の情勢では、参政党の勢いが浮き彫りとなっていますが、カギとなっているのは争点として急浮上している「外国人をめぐる政策」です。

■参政党8→10の選挙区で優勢・接戦に　SNSでも参政党の投稿数が伸びる

出水麻衣キャスター：
SNSでも「参政党」が注目されているというデータがあります。

Quid Monitor調べ／TDSE株式会社提供による、Xで各政党名やその略称の投稿数の推移を見ると、都議選が告示された6月13日の後から徐々に数字が増え、参院選の公示前（6月末）にぐっと数字が伸び、現在では自民党を追い抜いているような状況になっています。

参政党の情勢は今、どうなっているのでしょうか。

TBS報道局　選挙本部　本杉美樹 デスク：
まず7月7日、序盤の参政党の選挙区の情勢は、東京で「優勢」となっている他、茨城、埼玉、千葉、神奈川、愛知、大阪、福岡の7つで「接戦」となっており、合わせて8の選挙区で接戦以上となっていました。

これが1週間経ち7月14日には、北海道、兵庫が「接戦」に加わり、現在では10の選挙区が接戦以上という情勢になっています。

接戦の選挙区のうち、僅差ではありますが半分ほどの選挙区でわずかに上にきていると我々は見ています。半数ほどだと、これから伸びてくればひっくり返し、さらに議席を伸ばす可能性もあります。もちろん、逆のパターンもあり得ると我々は考えています。

選挙区の「接戦区」の情勢は、無党派層の取り込み、いわば“風”で決まる部分も大きいので、この最後の1週間で大きく変わりうるかなと考えています。

■注目の“外国人政策” 「関心がある」と答えた25％の投票先は参政党

出水キャスター：
今回の参院選の争点の一つに浮上しているのが、外国人を巡る政策です。TBSとJX通信が共同で行ったインターネット調査の結果を見ていきます。

今回の参院選の争点について聞きました。「物価高への対策」が上位に来ていますが、6番目に「外国人に関する政策」がきていて、21.15%の方が関心があると答えています。

この「外国人政策に関心がある」と答えた方の投票先を見てみると、「参政党」と答えた方が25%にも上りました。

今回の参院選の特徴は、いろいろな党が「外国人を巡る政策」を公約に書き、そこに注目が集まっているところです。

＜外国人をめぐる政策　各党の公約＞
▼自民　外免切り替えなど厳格化
▼公明　ルールに基づき厳格な対応
▼立憲　外国人一般労働者の雇用制度を整備
▼社民　多文化共生の社会をめざす
▼維新　外国人政策を国家が一元管理
▼参政　日本人ファースト 「外国人総合政策庁」設置
▼れいわ　外国から低賃金の労働力確保に反対
▼共産　外国人労働者の権利保障
▼国民　外国人土地取得規制法の制定など
▼保守　管理ビザの厳格化など

外国人をめぐる政策の各党の公約を見てみますと、立憲民主党、共産党、社民党などは、外国人との「共生」に力点を置いてアピールをしていますが、一方の自民党、日本維新の会、国民民主党などは規制について「見直す必要がある」という点に力点を置いています。

ただ、規制か共生かというのはどちらか一方を選ぶような対立するテーマではなく、今の規制が適切なのか考えることで、より共生しやすい社会をつくれるのではないかと説明する党も多くなっています。

井上貴博キャスター：
最初、参政党は単純に保守の受け皿だと解釈していたのですが、取材を進めたり、政策細かく見たりすると、リベラルな部分もあり、実際にリベラルの票もどんどん取っている。無党派層も取り込んでいる。構造を単純化することの危うさを個人的に感じたのですが、どうご覧になっていますか。

JX通信社 代表取締役　米重克洋さん：
おっしゃる通りで、いわゆる右か左かというフレームではなかなか捉えきれないような支持の集め方をしているのが参政党の特徴です。

実際、選挙区ごとの女性票を見ていくと、元々自民党に行っているような保守的な無党派層を第1に取っていくことは間違いありません。しかし同時に、例えば国民民主党支持層や、れいわ新選組の支持層も参政党の候補にかなり投票する意向を持っているということがわかっています。

こういったことから、例えば参政党の政策は文化的にはちょっと右寄りだけれども、経済的には左寄りに定義されるような政策も結構あります。そういったところにイデオロギーを問わずに惹かれていく有権者は一定数いて、今の自民党はやっぱり物価高でダメ、投票できない。一方で、立憲民主党も元々民主党のイメージがあるので、なかなか投票しにくいといった中で、第三極的な選択肢として有力視されている部分があるのではないかなと思います。

井上キャスター：
だからこそ、今回は特に我々の報じ方の難しさをすごく感じます。

TBS報道局　岩田夏弥 政治部長：
参政党の神谷代表は、やっぱりわざと強い言葉を言っているということもありますね。「日本人ファースト」という強い言葉で、一方でそれを聞いたら傷つく人もいるかもしれません。「差別だ」と批判する人もいるかも…（https://newsdig.tbs.co.jp/list/article?id=jnn-20250714-6248407）


▼TBS NEWS DIG 公式サイト　https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html

#ニュース #news #TBS #newsdig","['ニュース', 'NEWS', 'TBS', 'NEWSDIG', 'TBSNEWSDIG', '報道', '最新ニュース']",https://i.ytimg.com/vi/czuZH3483mY/hqdefault.jpg,25,62793,731,822,PT9M24S,False,自民党,,,62793
OVY8CQhg3QQ,2025-07-14T07:45:38Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,自公で過半数割れの可能性　1週間前より与党に厳しい情勢に　国民・参政が躍進の可能性　JNN中盤情勢【参議院選挙2025】｜TBS NEWS DIG,"今月20日に投開票が行われる参議院議員選挙について、JNNが中盤情勢を分析した結果、自公で参議院の過半数を割り込む可能性があることがわかりました。1週間前より与党に厳しい情勢となっています。

今月3日に公示された参議院議員選挙について、JNNではおとといときのう（12～13日）インターネット調査を行い、取材を加味して中盤の情勢を分析しました。

それによりますと、自民党と公明党はいずれも議席を減らし、非改選を合わせて過半数となる50議席を割り込む可能性があることがわかりました。

カギを握る32の「1人区」のうち自民党が優勢なのは8選挙区にとどまり、1週間前より与党に厳しい情勢となっています。

一方、野党系が優勢なのは東北や四国など15選挙区に増えた一方、これまで自民党が強かった栃木や熊本などが接戦に持ち込まれ、9選挙区が接戦となっています。

野党では、立憲民主党が選挙区で議席を増やすほか、日本維新の会、れいわ新選組も小幅に議席を積み増す見通しです。

国民民主党は改選4議席を10議席以上増やす可能性があります。

参政党は比例で大きく議席を増やすほか、選挙区を含めると10を超える議席を獲得する見込みです。

日本保守党は新たに議席を獲得する見通しです。

日本共産党は議席を減らすほか、社民党は議席を獲得する可能性があります。

また、諸派の「チームみらい」が議席を獲得する可能性があります。

予想される各党の獲得議席は以下の通りです。

自民党28～44
公明党5～11
立憲民主党24～32
日本維新の会5～8
日本共産党3～6
国民民主党11～21
れいわ新選組3～4
参政党8～18
社民党0～1
日本保守党2～3
諸派・無所属7～9

ただ今回の調査では、約4割の人が「まだ投票先を決めていない」と答えていて、今後、情勢が大きく変わる可能性があります。

▼TBS NEWS DIG 公式サイト　https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html

#ニュース #news #TBS #newsdig","['ニュース', 'NEWS', 'TBS', 'NEWSDIG', 'TBSNEWSDIG', '報道', '最新ニュース']",https://i.ytimg.com/vi/OVY8CQhg3QQ/hqdefault.jpg,25,51344,543,528,PT1M49S,False,TBS NEWS DIG Powered by JNN,参議院選挙;投票;改選;自民,4.0,51344
pgWZwqxl7Dw,2025-07-14T07:58:22Z,UCGCZAYq5Xxojl_tSXcVJhiQ,ANNnewsCH,【ライブ】7/14 昼ニュースまとめ 最新情報を厳選してお届け,"台風5号 関東に接近中　強風域の千葉・銚子市は
台風5号 関東に接近中　東海には線状降水帯予測
トランプ氏「来週中にも停戦」　ガザ“人道都市”にハマス反発
アパートで階段崩落　男性2人が転落 1人死亡　長崎
参院選 大阪選挙区　4議席をめぐる激戦　「指定席」に変化か？
中国　2025年上半期の貿易統計　米と関税交渉続くなか全体の貿易額は増加
東京・八王子市の住宅が燃える　2人病院に搬送　40代女性と男の子が軽傷
日経平均 先週末より150円ほど値を下げて始まる
鹿児島県十島村で震度4
トランプ大統領夫妻　9月訪英へ　国賓として異例の2度目訪問　チャールズ国王招く
物価高対策で効果的　「減税」が過半数、「給付」11％　企業約1300社調査
ロンドンの空港で医療用小型機墜落　離陸直後か　搭乗者の安否確認中
全国初「マヨネーズ容器」回収　ライバル企業がタッグ　ベトベトで困難？意識改革
自民・鶴保議員が参院予算委員長を辞任　「運のいいことに能登で地震」発言で
EV用電池工場で火災　黒煙広がる　台湾・高雄で15人負傷　外出控えるよう呼びかけ
日銀 保有株式の売却を完了　金融システム安定確保のため買い入れ
台風5号は関東沖合を北上中　東海で線状降水帯発生の恐れ
デイサービス送迎車 電柱に衝突　1人死亡 8人けが　東京・町田市
首を絞め…60代女性が死亡　72歳男を逮捕 夫婦か　東京・世田谷区
滝に飛び込んだか 男性不明　観光地の滝つぼから遺体　大分・原尻の滝
クマが男性2人襲う　福島・下郷町 温泉街近くの川沿い
ウクライナにパトリオット供与　トランプ氏「これはビジネス」
トランプ氏 関税協議巡り「日本は急速に交渉方針変えつつある」

■テレ朝NEWS24 日本のニュースを24時間配信
https://youtube.com/live/coYw-eVU0Ks

■テレ朝ニュース公式HP
https://news.tv-asahi.co.jp/

#ニュース #ライブ #ann",[],https://i.ytimg.com/vi/pgWZwqxl7Dw/hqdefault.jpg,25,34197,88,1,PT25M58S,False,ANNnewsCH,参院;参院選;大阪;東京;自民,5.0,34197
kms79ctWhb0,2025-07-14T13:26:20Z,UCB1dgsqLiEp57oDAyNV_vww,ABEMA Prime #アベプラ【公式】,【アベマ同時配信中】「参院選2025政党研究！共産党／対米自立は可能？」7月14日(月) よる9時｜アベプラ,".
◆ABEMAで視聴
21時台：https://abema.go.link/9kfGN
22時台：https://abema.go.link/asDdD

◆アベマニュースの過去放送回はこちら
【共産党】なぜ志位委員長が20年も？現役党員が訴える改革とは？
▷https://youtu.be/6F-MFOgefus

【参院選】政治のエンタメ化が進む？ウソ・陰謀論は混ざらない？切り抜き動画と選挙を考える
▷https://youtu.be/HO_YmDWFGAU

◆概要
参院選2025は日曜投開票！〇〇党はどんな政党？そんな素朴な疑問に答えます！第⑥回は日本共産党
トランプ言動にあたふた…対米自立は可能？

◆キャスト
松陰寺太勇
小原ブラス
たかまつなな
danny jin
速水健朗
穂川果音
仁科健吾

#アベプラ #松陰寺太勇 #参院選 #選挙 #共産党 #アベマ #生放送 #ニュース

------------------------------------------------------------

◆ニュース公式SNS
ニュースCh：https://www.youtube.com/channel/UCk5a240pQsTVT9CWPnTyIJw
X(旧Twitter)：https://twitter.com/News_ABEMA
TikTok①：https://vt.tiktok.com/ZSdQs8MPg/
TikTok②：https://vt.tiktok.com/ZSdQsM3E6/
　　
◆ABEMAアプリをダウンロード(登録なし/無料)
iOS：https://abe.ma/2NBqzZu
Android：https://abe.ma/2JL0K7b

※YouTube動画には掲載期限があり、予告なく掲載をおろす場合がございます。ご了承ください。

------------------------------------------------------------","['アベマニュース', 'あべまニュース', 'abemanews', 'ニュース', 'にゅーす', 'news', '生放送', 'アベマ', 'あべま', 'abema', 'アベマTV', 'あべまTV', 'abematv']",https://i.ytimg.com/vi/kms79ctWhb0/hqdefault.jpg,25,28335,93,19,PT1H15M28S,False,自民党,,,28335
xV9AYXxbMa8,2025-07-14T00:03:19Z,UCrZNoXoLkclKpyUjIKa1vBw,ニッポンチャチャチャ,参院選で自民党が大パニックに陥り緊急通知　#参院選 #参院選2025 #選挙#石破総理 #自民党 #税金 #政治,,[],https://i.ytimg.com/vi/xV9AYXxbMa8/hqdefault.jpg,22,18310,808,56,PT1M7S,False,自民党,,,18310
nQ8rslYfNVM,2025-07-14T12:00:41Z,UCuTAXTexrhetbOe3zgskJBQ,日テレNEWS,【夕ニュースライブ】最新ニュースと生活情報（7月14日） ──THE LATEST NEWS SUMMARY（日テレNEWS LIVE）,"・メンバーシップ「日テレNEWSクラブ」始まりました
月額290円で所属歴に応じ色が変化しステータスアップしていくバッジ特典や、ライブ配信のチャットで使えるスタンプなどの基本機能が特典となります!! 
https://www.youtube.com/channel/UCuTAXTexrhetbOe3zgskJBQ/join

【ラインアップ】
・【中継】台風5号、房総半島に接近　千葉・銚子市の様子は
・【予報士解説】西～東日本で大雨　東海で“線状降水帯”発生おそれ
・十島村・悪石島で震度4の地震が相次ぐ…震度1以上は2000回超え
・北海道福島町で相次ぎクマ目撃、住民から不安の声　おととい新聞配達中の男性襲われ死亡
・大分「東洋のナイアガラ」滝つぼで男性の遺体見つかる
・米トランプ政権「緊急事態管理庁」廃止取りやめ　テキサス州の大規模洪水受け
・台風5号、関東に接近中　交通機関への影響は
・参院選「外国人政策」急浮上　政治動画“切り抜き”SNS増加のワケ【バンキシャ！】


◇日本テレビ報道局のSNS
X（旧Twitter）　https://twitter.com/news24ntv
TikTok　https://www.tiktok.com/@ntv.news
Facebook　https://www.facebook.com/ntvnews24
Instagram　https://www.instagram.com/ntv_news24/?hl=ja

◇【最新ニュース配信中】日テレNEWS  
https://news.ntv.co.jp/


#日テレ​​　#ニュース​　#live　#まとめ　#ntv　#live　#日テレnewsnnn","['news', 'ニュース', '日テレNEWS', '日テレ', '最新情報', 'NEWS', '事件', '事故', '地震', '政治', '社会', '国際', '首相', '大統領', 'news_ntv', 'latest news', 'live', 'ライブ', 'まとめ', 'UCuTAXTexrhetbOe3zgskJBQ', '日本テレビ', '日本', 'Japan', 'Tokyo', 'NTV', '報道', '@ntv_news']",https://i.ytimg.com/vi/nQ8rslYfNVM/hqdefault.jpg,25,17269,73,2,PT2H20M2S,False,日テレNEWS,参院;参院選,2.0,17269
